"id","batch_id","room_code","room_id","room_title","kind","tool","name","acquisition_phase","acquisition_lane","priority_order","blocking_rule","source_status","content_status","source_path","source_directory","dropzone_readme","runtime_path","placement_target","runtime_policy","review_gate","handoff_check"
"old_quay_meshy_source_model_rope_cleat","R02_A_meshy_helper_geometry","R02","old_quay","The Old Quay","meshy_source_model","Meshy","rope cleat","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb","art/src/backgrounds/act_i/source_models/old_quay","art/src/backgrounds/act_i/source_models/old_quay/README.md","","art/src/backgrounds/act_i/blockouts/old_quay.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"old_quay_generated_reference_grime_texture","R02_B_reference_board","R02","old_quay","The Old Quay","generated_reference","imagegen","grime texture","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/old_quay/grime_texture.png","docs/art/reference/act_i/old_quay","docs/art/reference/act_i/old_quay/README.md","","docs/art/reference/act_i/old_quay","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"old_quay_generated_reference_ink_wash_edge_breakup","R02_B_reference_board","R02","old_quay","The Old Quay","generated_reference","imagegen","ink-wash edge breakup","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/old_quay/ink_wash_edge_breakup.png","docs/art/reference/act_i/old_quay","docs/art/reference/act_i/old_quay/README.md","","docs/art/reference/act_i/old_quay","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"old_quay_generated_reference_non_clickable_dressing_silhouettes","R02_B_reference_board","R02","old_quay","The Old Quay","generated_reference","imagegen","non-clickable dressing silhouettes","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/old_quay/non_clickable_dressing_silhouettes.png","docs/art/reference/act_i/old_quay","docs/art/reference/act_i/old_quay/README.md","","docs/art/reference/act_i/old_quay","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"old_quay_generated_reference_palette_safe_mood_reference","R02_B_reference_board","R02","old_quay","The Old Quay","generated_reference","imagegen","palette-safe mood reference","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/old_quay/palette_safe_mood_reference.png","docs/art/reference/act_i/old_quay","docs/art/reference/act_i/old_quay/README.md","","docs/art/reference/act_i/old_quay","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"old_quay_interactive_layer_bollard_tomas","R02_C_interactive_runtime_layer","R02","old_quay","The Old Quay","interactive_layer","paintover","Bollard Tomas","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/old_quay/tomas.psd","art/src/backgrounds/act_i/interactive_layers/old_quay","art/src/backgrounds/act_i/interactive_layers/old_quay/README.md","game/rooms/old_quay/props/tomas.png","game/rooms/old_quay/props/tomas.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"old_quay_interactive_layer_empty_flask","R02_C_interactive_runtime_layer","R02","old_quay","The Old Quay","interactive_layer","paintover","Empty flask","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/old_quay/flask.psd","art/src/backgrounds/act_i/interactive_layers/old_quay","art/src/backgrounds/act_i/interactive_layers/old_quay/README.md","game/rooms/old_quay/props/flask.png","game/rooms/old_quay/props/flask.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"old_quay_interactive_layer_rope_cleat","R02_C_interactive_runtime_layer","R02","old_quay","The Old Quay","interactive_layer","paintover","Rope cleat","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/old_quay/ropecleat.psd","art/src/backgrounds/act_i/interactive_layers/old_quay","art/src/backgrounds/act_i/interactive_layers/old_quay/README.md","game/rooms/old_quay/props/ropecleat.png","game/rooms/old_quay/props/ropecleat.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"old_quay_navigation_silhouette_mudflats","R02_D_navigation_readability_layer","R02","old_quay","The Old Quay","navigation_silhouette","paintover","Mudflats","hold_for_room_approval","D_navigation_readability_layer","40","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/tomudflats.psd","art/src/backgrounds/act_i/navigation_silhouettes/old_quay","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/README.md","game/rooms/old_quay/background/old_quay_bg.png","game/rooms/old_quay/background/old_quay_bg.png","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","preserve existing exit metadata and walk-band readability"
"old_quay_navigation_silhouette_salt_market","R02_D_navigation_readability_layer","R02","old_quay","The Old Quay","navigation_silhouette","paintover","Salt Market","hold_for_room_approval","D_navigation_readability_layer","40","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/tosaltmarket.psd","art/src/backgrounds/act_i/navigation_silhouettes/old_quay","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/README.md","game/rooms/old_quay/background/old_quay_bg.png","game/rooms/old_quay/background/old_quay_bg.png","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","preserve existing exit metadata and walk-band readability"
"salt_market_meshy_source_model_boot_stall","R03_A_meshy_helper_geometry","R03","salt_market","Salt Market","meshy_source_model","Meshy","boot stall","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/salt_market/boot_stall.glb","art/src/backgrounds/act_i/source_models/salt_market","art/src/backgrounds/act_i/source_models/salt_market/README.md","","art/src/backgrounds/act_i/blockouts/salt_market.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"salt_market_meshy_source_model_crowd_silhouette_blockers","R03_A_meshy_helper_geometry","R03","salt_market","Salt Market","meshy_source_model","Meshy","crowd silhouette blockers","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/salt_market/crowd_silhouette_blockers.glb","art/src/backgrounds/act_i/source_models/salt_market","art/src/backgrounds/act_i/source_models/salt_market/README.md","","art/src/backgrounds/act_i/blockouts/salt_market.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"salt_market_meshy_source_model_hanging_lamps","R03_A_meshy_helper_geometry","R03","salt_market","Salt Market","meshy_source_model","Meshy","hanging lamps","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/salt_market/hanging_lamps.glb","art/src/backgrounds/act_i/source_models/salt_market","art/src/backgrounds/act_i/source_models/salt_market/README.md","","art/src/backgrounds/act_i/blockouts/salt_market.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"salt_market_meshy_source_model_market_stall_shells","R03_A_meshy_helper_geometry","R03","salt_market","Salt Market","meshy_source_model","Meshy","market stall shells","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/salt_market/market_stall_shells.glb","art/src/backgrounds/act_i/source_models/salt_market","art/src/backgrounds/act_i/source_models/salt_market/README.md","","art/src/backgrounds/act_i/blockouts/salt_market.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"salt_market_generated_reference_market_awning_texture","R03_B_reference_board","R03","salt_market","Salt Market","generated_reference","imagegen","market awning texture","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/salt_market/market_awning_texture.png","docs/art/reference/act_i/salt_market","docs/art/reference/act_i/salt_market/README.md","","docs/art/reference/act_i/salt_market","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"salt_market_generated_reference_public_crowd_mood","R03_B_reference_board","R03","salt_market","Salt Market","generated_reference","imagegen","public crowd mood","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/salt_market/public_crowd_mood.png","docs/art/reference/act_i/salt_market","docs/art/reference/act_i/salt_market/README.md","","docs/art/reference/act_i/salt_market","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"salt_market_generated_reference_salt_signage_grime","R03_B_reference_board","R03","salt_market","Salt Market","generated_reference","imagegen","salt signage grime","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/salt_market/salt_signage_grime.png","docs/art/reference/act_i/salt_market","docs/art/reference/act_i/salt_market/README.md","","docs/art/reference/act_i/salt_market","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"salt_market_interactive_layer_boot_stall","R03_C_interactive_runtime_layer","R03","salt_market","Salt Market","interactive_layer","paintover","Boot stall","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/bootstall.psd","art/src/backgrounds/act_i/interactive_layers/salt_market","art/src/backgrounds/act_i/interactive_layers/salt_market/README.md","game/rooms/salt_market/props/bootstall.png","game/rooms/salt_market/props/bootstall.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"salt_market_interactive_layer_church_sign","R03_C_interactive_runtime_layer","R03","salt_market","Salt Market","interactive_layer","paintover","Church sign","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/churchsign.psd","art/src/backgrounds/act_i/interactive_layers/salt_market","art/src/backgrounds/act_i/interactive_layers/salt_market/README.md","game/rooms/salt_market/props/churchsign.png","game/rooms/salt_market/props/churchsign.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"salt_market_interactive_layer_confession_queue","R03_C_interactive_runtime_layer","R03","salt_market","Salt Market","interactive_layer","paintover","Confession queue","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/confessionqueue.psd","art/src/backgrounds/act_i/interactive_layers/salt_market","art/src/backgrounds/act_i/interactive_layers/salt_market/README.md","game/rooms/salt_market/props/confessionqueue.png","game/rooms/salt_market/props/confessionqueue.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"salt_market_interactive_layer_crowd","R03_C_interactive_runtime_layer","R03","salt_market","Salt Market","interactive_layer","paintover","Crowd","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/marketcrowd.psd","art/src/backgrounds/act_i/interactive_layers/salt_market","art/src/backgrounds/act_i/interactive_layers/salt_market/README.md","game/rooms/salt_market/props/marketcrowd.png","game/rooms/salt_market/props/marketcrowd.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"salt_market_interactive_layer_fishmonger","R03_C_interactive_runtime_layer","R03","salt_market","Salt Market","interactive_layer","paintover","Fishmonger","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/fishmonger.psd","art/src/backgrounds/act_i/interactive_layers/salt_market","art/src/backgrounds/act_i/interactive_layers/salt_market/README.md","game/rooms/salt_market/props/fishmonger.png","game/rooms/salt_market/props/fishmonger.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"salt_market_navigation_silhouette_almshouse","R03_D_navigation_readability_layer","R03","salt_market","Salt Market","navigation_silhouette","paintover","Almshouse","hold_for_room_approval","D_navigation_readability_layer","40","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/toalmshouse.psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/README.md","game/rooms/salt_market/background/salt_market_bg.png","game/rooms/salt_market/background/salt_market_bg.png","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","preserve existing exit metadata and walk-band readability"
"salt_market_navigation_silhouette_bone_chandler","R03_D_navigation_readability_layer","R03","salt_market","Salt Market","navigation_silhouette","paintover","Bone Chandler","hold_for_room_approval","D_navigation_readability_layer","40","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tochandler.psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/README.md","game/rooms/salt_market/background/salt_market_bg.png","game/rooms/salt_market/background/salt_market_bg.png","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","preserve existing exit metadata and walk-band readability"
"salt_market_navigation_silhouette_church","R03_D_navigation_readability_layer","R03","salt_market","Salt Market","navigation_silhouette","paintover","Church","hold_for_room_approval","D_navigation_readability_layer","40","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tochurch.psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/README.md","game/rooms/salt_market/background/salt_market_bg.png","game/rooms/salt_market/background/salt_market_bg.png","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","preserve existing exit metadata and walk-band readability"
"salt_market_navigation_silhouette_fish_hall","R03_D_navigation_readability_layer","R03","salt_market","Salt Market","navigation_silhouette","paintover","Fish Hall","hold_for_room_approval","D_navigation_readability_layer","40","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tofishhall.psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/README.md","game/rooms/salt_market/background/salt_market_bg.png","game/rooms/salt_market/background/salt_market_bg.png","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","preserve existing exit metadata and walk-band readability"
"salt_market_navigation_silhouette_old_quay","R03_D_navigation_readability_layer","R03","salt_market","Salt Market","navigation_silhouette","paintover","Old Quay","hold_for_room_approval","D_navigation_readability_layer","40","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tooldquay.psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/README.md","game/rooms/salt_market/background/salt_market_bg.png","game/rooms/salt_market/background/salt_market_bg.png","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","preserve existing exit metadata and walk-band readability"
"salt_market_navigation_silhouette_registry","R03_D_navigation_readability_layer","R03","salt_market","Salt Market","navigation_silhouette","paintover","Registry","hold_for_room_approval","D_navigation_readability_layer","40","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/toregistry.psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/README.md","game/rooms/salt_market/background/salt_market_bg.png","game/rooms/salt_market/background/salt_market_bg.png","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","preserve existing exit metadata and walk-band readability"
"harbor_registry_meshy_source_model_ledger_stacks","R05_A_meshy_helper_geometry","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","ledger stacks","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/harbor_registry/ledger_stacks.glb","art/src/backgrounds/act_i/source_models/harbor_registry","art/src/backgrounds/act_i/source_models/harbor_registry/README.md","","art/src/backgrounds/act_i/blockouts/harbor_registry.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"harbor_registry_meshy_source_model_registrar_desk","R05_A_meshy_helper_geometry","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","Registrar desk","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/harbor_registry/registrar_desk.glb","art/src/backgrounds/act_i/source_models/harbor_registry","art/src/backgrounds/act_i/source_models/harbor_registry/README.md","","art/src/backgrounds/act_i/blockouts/harbor_registry.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"harbor_registry_meshy_source_model_roll_book_lectern","R05_A_meshy_helper_geometry","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","roll book lectern","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/harbor_registry/roll_book_lectern.glb","art/src/backgrounds/act_i/source_models/harbor_registry","art/src/backgrounds/act_i/source_models/harbor_registry/README.md","","art/src/backgrounds/act_i/blockouts/harbor_registry.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"harbor_registry_meshy_source_model_window_frame","R05_A_meshy_helper_geometry","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","window frame","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/harbor_registry/window_frame.glb","art/src/backgrounds/act_i/source_models/harbor_registry","art/src/backgrounds/act_i/source_models/harbor_registry/README.md","","art/src/backgrounds/act_i/blockouts/harbor_registry.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"harbor_registry_generated_reference_grime_texture","R05_B_reference_board","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","grime texture","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/harbor_registry/grime_texture.png","docs/art/reference/act_i/harbor_registry","docs/art/reference/act_i/harbor_registry/README.md","","docs/art/reference/act_i/harbor_registry","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"harbor_registry_generated_reference_ink_wash_edge_breakup","R05_B_reference_board","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","ink-wash edge breakup","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/harbor_registry/ink_wash_edge_breakup.png","docs/art/reference/act_i/harbor_registry","docs/art/reference/act_i/harbor_registry/README.md","","docs/art/reference/act_i/harbor_registry","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"harbor_registry_generated_reference_non_clickable_dressing_silhouettes","R05_B_reference_board","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","non-clickable dressing silhouettes","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/harbor_registry/non_clickable_dressing_silhouettes.png","docs/art/reference/act_i/harbor_registry","docs/art/reference/act_i/harbor_registry/README.md","","docs/art/reference/act_i/harbor_registry","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"harbor_registry_generated_reference_palette_safe_mood_reference","R05_B_reference_board","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","palette-safe mood reference","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/harbor_registry/palette_safe_mood_reference.png","docs/art/reference/act_i/harbor_registry","docs/art/reference/act_i/harbor_registry/README.md","","docs/art/reference/act_i/harbor_registry","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
