"id","room_code","room_id","room_title","kind","name","route","status","purpose","source_path","runtime_path","critical_roles"
"kane_parlour_meshy_source_model_coral_calcified_chair","R13","kane_parlour","Kane's Parlour","meshy_source_model","coral calcified chair","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/kane_parlour/coral_calcified_chair.glb","","System.String[]"
"kane_parlour_meshy_source_model_half_flooded_floorboards","R13","kane_parlour","Kane's Parlour","meshy_source_model","half-flooded floorboards","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/kane_parlour/half_flooded_floorboards.glb","","System.String[]"
"kane_parlour_meshy_source_model_ledger_lectern","R13","kane_parlour","Kane's Parlour","meshy_source_model","ledger lectern","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/kane_parlour/ledger_lectern.glb","","System.String[]"
"kane_parlour_meshy_source_model_wax_seal_desk","R13","kane_parlour","Kane's Parlour","meshy_source_model","wax seal desk","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/kane_parlour/wax_seal_desk.glb","","System.String[]"
"kane_parlour_navigation_silhouette_door_back_to_port","R13","kane_parlour","Kane's Parlour","navigation_silhouette","door back to port","painted_readability_plus_godot_hotspot","pending","Paint readable exits and depth cues while keeping Godot hotspot metadata authoritative.","art/src/backgrounds/act_ii/navigation_silhouettes/kane_parlour/door_back_to_port.psd","game/rooms/kane_parlour/background/kane_parlour_bg.png","System.String[]"
"float_lower_generated_reference_amber_unsafe_warmth_reference","R14","float_lower","Below Decks, The Grey Float","generated_reference","amber unsafe warmth reference","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/float_lower/amber_unsafe_warmth_reference.png","","System.String[]"
"float_lower_generated_reference_dignified_labor_staging","R14","float_lower","Below Decks, The Grey Float","generated_reference","dignified labor staging","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/float_lower/dignified_labor_staging.png","","System.String[]"
"float_lower_generated_reference_hard_r_non_explicit_steam_silhouettes","R14","float_lower","Below Decks, The Grey Float","generated_reference","hard-R non-explicit steam silhouettes","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/float_lower/hard_r_non_explicit_steam_silhouettes.png","","System.String[]"
"float_lower_generated_reference_water_condensation_wash","R14","float_lower","Below Decks, The Grey Float","generated_reference","water condensation wash","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/float_lower/water_condensation_wash.png","","System.String[]"
"float_lower_interactive_layer_lamp_valve","R14","float_lower","Below Decks, The Grey Float","interactive_layer","lamp valve","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/float_lower/lamp_valve.psd","game/rooms/float_lower/props/lamp_valve.png","System.String[]"
"float_lower_interactive_layer_mireille_memory_book","R14","float_lower","Below Decks, The Grey Float","interactive_layer","Mireille memory book","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/float_lower/mireille_memory_book.psd","game/rooms/float_lower/props/mireille_memory_book.png","System.String[]"
"float_lower_interactive_layer_privacy_curtain","R14","float_lower","Below Decks, The Grey Float","interactive_layer","privacy curtain","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/float_lower/privacy_curtain.psd","game/rooms/float_lower/props/privacy_curtain.png","System.String[]"
"float_lower_meshy_source_model_low_bath_railings","R14","float_lower","Below Decks, The Grey Float","meshy_source_model","low bath railings","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/float_lower/low_bath_railings.glb","","System.String[]"
"float_lower_meshy_source_model_mireille_day_eight_couch","R14","float_lower","Below Decks, The Grey Float","meshy_source_model","Mireille day-eight couch","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/float_lower/mireille_day_eight_couch.glb","","System.String[]"
"float_lower_meshy_source_model_steam_partition_screens","R14","float_lower","Below Decks, The Grey Float","meshy_source_model","steam partition screens","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/float_lower/steam_partition_screens.glb","","System.String[]"
"float_lower_meshy_source_model_warm_pipe_lattice","R14","float_lower","Below Decks, The Grey Float","meshy_source_model","warm pipe lattice","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/float_lower/warm_pipe_lattice.glb","","System.String[]"
"float_lower_navigation_silhouette_screened_private_alcove","R14","float_lower","Below Decks, The Grey Float","navigation_silhouette","screened private alcove","painted_readability_plus_godot_hotspot","pending","Paint readable exits and depth cues while keeping Godot hotspot metadata authoritative.","art/src/backgrounds/act_ii/navigation_silhouettes/float_lower/screened_private_alcove.psd","game/rooms/float_lower/background/float_lower_bg.png","System.String[]"
"float_lower_navigation_silhouette_stairs_to_upper_float","R14","float_lower","Below Decks, The Grey Float","navigation_silhouette","stairs to upper Float","painted_readability_plus_godot_hotspot","pending","Paint readable exits and depth cues while keeping Godot hotspot metadata authoritative.","art/src/backgrounds/act_ii/navigation_silhouettes/float_lower/stairs_to_upper_float.psd","game/rooms/float_lower/background/float_lower_bg.png","System.String[]"
"customs_house_generated_reference_absinthe_ledger_glow","R15","customs_house","Customs House","generated_reference","absinthe ledger glow","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/customs_house/absinthe_ledger_glow.png","","System.String[]"
"customs_house_generated_reference_bureaucratic_clutter_silhouettes","R15","customs_house","Customs House","generated_reference","bureaucratic clutter silhouettes","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/customs_house/bureaucratic_clutter_silhouettes.png","","System.String[]"
"customs_house_generated_reference_wet_paper_texture","R15","customs_house","Customs House","generated_reference","wet paper texture","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/customs_house/wet_paper_texture.png","","System.String[]"
"customs_house_interactive_layer_cut_paper_transaction_record","R15","customs_house","Customs House","interactive_layer","cut paper transaction record","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/customs_house/cut_paper_transaction_record.psd","game/rooms/customs_house/props/cut_paper_transaction_record.png","System.String[]"
"customs_house_interactive_layer_forged_customs_writ_slot","R15","customs_house","Customs House","interactive_layer","forged customs writ slot","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/customs_house/forged_customs_writ_slot.psd","game/rooms/customs_house/props/forged_customs_writ_slot.png","System.String[]"
"customs_house_interactive_layer_harbor_assignment_document","R15","customs_house","Customs House","interactive_layer","harbor assignment document","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/customs_house/harbor_assignment_document.psd","game/rooms/customs_house/props/harbor_assignment_document.png","System.String[]"
"customs_house_interactive_layer_tide_table","R15","customs_house","Customs House","interactive_layer","tide table","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/customs_house/tide_table.psd","game/rooms/customs_house/props/tide_table.png","System.String[]"
"customs_house_meshy_source_model_customs_counter_cage","R15","customs_house","Customs House","meshy_source_model","customs counter cage","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/customs_house/customs_counter_cage.glb","","System.String[]"
"customs_house_meshy_source_model_impossible_ledger_cabinet","R15","customs_house","Customs House","meshy_source_model","impossible ledger cabinet","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/customs_house/impossible_ledger_cabinet.glb","","System.String[]"
"customs_house_meshy_source_model_stamp_press","R15","customs_house","Customs House","meshy_source_model","stamp press","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/customs_house/stamp_press.glb","","System.String[]"
"customs_house_meshy_source_model_tide_table_rack","R15","customs_house","Customs House","meshy_source_model","tide table rack","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/customs_house/tide_table_rack.glb","","System.String[]"
"customs_house_navigation_silhouette_door_to_harbor","R15","customs_house","Customs House","navigation_silhouette","door to harbor","painted_readability_plus_godot_hotspot","pending","Paint readable exits and depth cues while keeping Godot hotspot metadata authoritative.","art/src/backgrounds/act_ii/navigation_silhouettes/customs_house/door_to_harbor.psd","game/rooms/customs_house/background/customs_house_bg.png","System.String[]"
"customs_house_navigation_silhouette_stairs_to_archive_shelf","R15","customs_house","Customs House","navigation_silhouette","stairs to archive shelf","painted_readability_plus_godot_hotspot","pending","Paint readable exits and depth cues while keeping Godot hotspot metadata authoritative.","art/src/backgrounds/act_ii/navigation_silhouettes/customs_house/stairs_to_archive_shelf.psd","game/rooms/customs_house/background/customs_house_bg.png","System.String[]"
"kestrel_wreck_generated_reference_bone_white_surf_foam","R16","kestrel_wreck","The Kestrel at Low Tide","generated_reference","bone-white surf foam","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/kestrel_wreck/bone_white_surf_foam.png","","System.String[]"
"kestrel_wreck_generated_reference_low_tide_mud_sheen","R16","kestrel_wreck","The Kestrel at Low Tide","generated_reference","low tide mud sheen","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/kestrel_wreck/low_tide_mud_sheen.png","","System.String[]"
"kestrel_wreck_generated_reference_non_explicit_wreck_body_horror_texture","R16","kestrel_wreck","The Kestrel at Low Tide","generated_reference","non-explicit wreck body-horror texture","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/kestrel_wreck/non_explicit_wreck_body_horror_texture.png","","System.String[]"
"kestrel_wreck_interactive_layer_crew_list","R16","kestrel_wreck","The Kestrel at Low Tide","interactive_layer","crew list","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/kestrel_wreck/crew_list.psd","game/rooms/kestrel_wreck/props/crew_list.png","System.String[]"
"kestrel_wreck_interactive_layer_low_tide_marker","R16","kestrel_wreck","The Kestrel at Low Tide","interactive_layer","low tide marker","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/kestrel_wreck/low_tide_marker.psd","game/rooms/kestrel_wreck/props/low_tide_marker.png","System.String[]"
"kestrel_wreck_interactive_layer_tomas_papers_strongbox","R16","kestrel_wreck","The Kestrel at Low Tide","interactive_layer","Tomas papers strongbox","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/kestrel_wreck/tomas_papers_strongbox.psd","game/rooms/kestrel_wreck/props/tomas_papers_strongbox.png","System.String[]"
"kestrel_wreck_meshy_source_model_broken_hull_ribs","R16","kestrel_wreck","The Kestrel at Low Tide","meshy_source_model","broken hull ribs","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/kestrel_wreck/broken_hull_ribs.glb","","System.String[]"
"kestrel_wreck_meshy_source_model_crew_list_strongbox","R16","kestrel_wreck","The Kestrel at Low Tide","meshy_source_model","crew-list strongbox","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/kestrel_wreck/crew_list_strongbox.glb","","System.String[]"
"kestrel_wreck_meshy_source_model_exposed_keel_beam","R16","kestrel_wreck","The Kestrel at Low Tide","meshy_source_model","exposed keel beam","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/kestrel_wreck/exposed_keel_beam.glb","","System.String[]"
"kestrel_wreck_meshy_source_model_tilted_cargo_hold","R16","kestrel_wreck","The Kestrel at Low Tide","meshy_source_model","tilted cargo hold","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/kestrel_wreck/tilted_cargo_hold.glb","","System.String[]"
"kestrel_wreck_navigation_silhouette_crawlway_into_hold","R16","kestrel_wreck","The Kestrel at Low Tide","navigation_silhouette","crawlway into hold","painted_readability_plus_godot_hotspot","pending","Paint readable exits and depth cues while keeping Godot hotspot metadata authoritative.","art/src/backgrounds/act_ii/navigation_silhouettes/kestrel_wreck/crawlway_into_hold.psd","game/rooms/kestrel_wreck/background/kestrel_wreck_bg.png","System.String[]"
"kestrel_wreck_navigation_silhouette_return_path_to_quay","R16","kestrel_wreck","The Kestrel at Low Tide","navigation_silhouette","return path to quay","painted_readability_plus_godot_hotspot","pending","Paint readable exits and depth cues while keeping Godot hotspot metadata authoritative.","art/src/backgrounds/act_ii/navigation_silhouettes/kestrel_wreck/return_path_to_quay.psd","game/rooms/kestrel_wreck/background/kestrel_wreck_bg.png","System.String[]"
